client,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
"Adams, Blair and Moyer",,,,,,,,10000000.0,10000000.0,,662994.8497856988,4117553.3788664984,1252214.991415931,,,,,,,,,,10000000.0,3698112.2444910766,,
"Allen, Martinez and Young",,,,,9732006.372372108,10000000.0,,,,,,,,,,,,,,,,,10000000.0,,,
Allen-Rivera,,,,,,,,10000000.0,10000000.0,,,,,,,,,,,,,4366569.135861042,4925076.3900649585,8674410.469161928,10000000.0,
Bell-Pearson,,,,,6749594.417232439,10000000.0,3665827.3766440926,4579608.096376175,10000000.0,2536981.140398777,,,,,,7802575.019566132,10000000.0,,,,,,,,,
Bowers Inc,,,,,,,,,,,7319336.901046726,10000000.0,,,,,,,,,,8552738.636513352,5513182.533324774,9868206.271277767,,
Bradley-Richard,,,,,,,,,,,,8169391.8102795575,10000000.0,,,,,,,,,,,,,
"Cabrera, Miller and Vance",,,2650017.0246596304,,10000000.0,9188464.079005254,7853399.828281597,,,,,8295523.349736748,4423129.636602302,10000000.0,6971105.210565555,10000000.0,5691845.359782762,,,,,,,,,
"Cameron, Perez and Moran",,,,,,,,,,,5721743.852251813,5584984.591974329,,,,,,,,,,,,,,
Campbell-Farmer,,,,,,,,,,,,,,,,,3756981.5152179482,9743240.436101642,10000000.0,,4198632.100708993,,,,,
Carter-Lindsey,,,10000000.0,10000000.0,,,,,3280862.085410159,10000000.0,,,10000000.0,10000000.0,,,,,,,,,,10000000.0,8524937.417725911,
Castillo LLC,,,,,,,,,1901761.6656473798,8758533.646199312,9989905.211032294,10000000.0,994219.5548183818,,,,,,7487346.888605169,3852701.826266482,10000000.0,10000000.0,10000000.0,,,
Cochran-Martinez,,,,,,,10000000.0,7806885.8611874785,3640464.684383475,10000000.0,9189821.800255718,,,,,,,,,,,,10000000.0,,9470295.59375822,10000000.0
Collins-Lopez,,5976712.215724056,,,,10000000.0,,,,,,,,,10000000.0,9559138.887630021,5551327.766147212,,,,,,,,,
"Colon, Martinez and Brown",,,,,,,,,,5448763.389679728,,,,,,,,,,,,,,6193610.751671014,,8942546.611687167
Contreras Ltd,,,,,,,,,4397694.514087161,,,,,,,,,,,,,,7918563.914387954,5240717.141975411,1547226.143647509,10000000.0
"Contreras, Oneill and Williams",,,7878414.888773683,,,,1747030.7043675547,4582478.931935474,50000.0,9311122.275307035,1705790.0635736182,10000000.0,7926513.70293652,2255977.086005863,,,,,,,,6099054.825055558,,10000000.0,,
Copeland-May,,,,,,,,,,,,,,,,10000000.0,5767921.86406513,10000000.0,2044739.0779228343,747328.939301767,,,,,,
"Craig, Ross and Ho",10000000.0,10000000.0,,,10000000.0,,3696990.653827049,10000000.0,10000000.0,,,3477969.021753846,7347333.5661663925,10000000.0,,4162855.806258549,,,,,,,,,,
Cruz LLC,,,,,,,,,2614282.6928369566,,6060893.599294382,8944691.048796266,8902538.74292491,10000000.0,10000000.0,,,,,,,,,10000000.0,,
Davila-Burke,,,,10000000.0,1882948.1318205637,,,,,,,,,,,,,7579998.049482105,5124412.006795662,8031835.315456194,10000000.0,,,10000000.0,,10000000.0
"Davis, Smith and Andersen",,,,,,,,,,,,10000000.0,,,,,,,,,8748344.793528495,9572696.364783373,9143750.392435336,1849625.9391322979,,
Davis-Allen,,,7467241.6189298425,,,,,,,,,,,,,,,,,,,,,,,
Eaton-Diaz,,,,,,3741020.0124622392,2895086.438378433,,,,3972933.7676466755,,,2871758.732235169,,,,,,,2661617.065964714,7727777.280011707,7682011.480511504,,,
"Ferguson, Harris and Chapman",,,,,,,,,864852.6804712615,8066244.881596385,10000000.0,10000000.0,8445759.992312608,,,,,,,,,,,,,
"Fernandez, Long and Park",,,,,,8081725.635110511,1852024.5063762146,672984.6717600994,2884841.8956748573,10000000.0,,,,,,,,,,,,,,10000000.0,7955034.333951588,
Flowers LLC,,,,,,,,,,,10000000.0,10000000.0,10000000.0,10000000.0,10000000.0,,,,,,,,,,,
Floyd Group,,,2578804.202877247,10000000.0,,,,8544102.49247808,10000000.0,3295039.2697498626,1161184.7818743507,,,,4781096.435487118,10000000.0,2974729.32769995,7051531.8480401095,10000000.0,,,,,,,
Foster Group,1928302.570801388,6985252.410921893,4165260.3665688448,,,,,,,9133779.878482293,,,,,10000000.0,10000000.0,,,,,10000000.0,,,,,
Fuller LLC,,,,10000000.0,,6900484.237565285,,,5616432.488788677,10000000.0,,,,,,3407528.96210488,7094299.86770447,10000000.0,4996300.343170141,8699216.960872225,10000000.0,,,,,
Golden Ltd,,,,,,,,,,,,,,,,,10000000.0,5782238.853342904,2212105.080487739,1243332.1304749572,5981035.306625659,,,,,
Gonzalez and Sons,,,,10000000.0,6297839.636588825,3482487.372087652,2409801.1178298136,,,,,8795204.826043766,5011230.718314207,10000000.0,6224432.1631807005,,,,,,,,,,,
Goodman-Rowland,,,,,,8690773.662772322,,,,,,,,,,,,,,,,,,,,
